player_id,name,hand,ht,country_id
202418,Lara Arruabarrena,R,166,ESP
200748,Venus Williams,R,185,USA
216262,Clara Burel,R,176,FRA
202446,Eugenie Bouchard,R,178,CAN
201397,Shuai Peng,R,173,CHN
200033,Serena Williams,R,175,USA
212001,Natalia Vikhlyantseva,R,,RUS
202453,Saisai Zheng,R,170,CHN
203435,Dalila Jakupovic,R,,SLO
216347,Iga Swiatek,R,176,POL
202536,Ana Bogdan,R,,ROU
201483,Madison Brengle,R,,USA
201595,Misaki Doi,L,159,JPN
202663,Magda Linette,R,171,POL
201696,Laura Siegemund,R,,GER
201458,Victoria Azarenka,R,180,BLR
202492,Qiang Wang,R,172,CHN
211539,Fiona Ferro,R,170,FRA
215370,Bianca Andreescu,R,170,CAN
215992,Whitney Osuigwe,R,,USA
201621,Mona Barthel,R,185,GER
203533,Anna Karolina Schmiedlova,R,,SVK
202506,Margarita Gasparyan,R,,RUS
202684,Lin Zhu,R,,CHN
201426,Pauline Parmentier,R,175,FRA
201619,Madison Keys,R,178,USA
201533,Shuai Zhang,R,177,CHN
201697,Kristyna Pliskova,L,,CZE
215020,Anna Blinkova,R,,RUS
214149,Viktoria Kuzmova,R,,SVK
201593,Irina Camelia Begu,R,181,ROU
202505,Belinda Bencic,R,175,SUI
216153,Amanda Anisimova,R,,USA
201512,Monica Niculescu,R,168,ROU
211107,Katie Boulter,R,180,GBR
201505,Ekaterina Makarova,L,178,RUS
214939,Anna Kalinskaya,R,,RUS
202503,Luksika Kumkhum,R,,THA
206374,Yafan Wang,R,,CHN
206391,Ellen Perez,L,,AUS
206292,Astra Sharma,R,,AUS
206289,Maria Sakkari,R,172,GRE
201345,Maria Sharapova,R,,RUS
202490,Rebecca Peterson,R,,SWE
201514,Sorana Cirstea,R,176,ROU
201596,Johanna Larsson,R,174,SWE
214304,Vera Lapko,R,,BLR
201496,Caroline Wozniacki,R,177,DEN
202421,Alison Van Uytvanck,R,173,BEL
203501,Taylor Townsend,L,,USA
201693,Timea Babos,R,179,HUN
202460,Ons Jabeur,R,167,TUN
214954,Marketa Vondrousova,L,173,CZE
201516,Evgeniya Rodina,R,,RUS
201549,Petra Martic,R,181,CRO
204427,Sara Sorribes Tormo,R,,ESP
201465,Kirsten Flipkens,R,165,BEL
201499,Anastasia Pavlyuchenkova,R,177,RUS
201590,Alison Riske,R,173,USA
201504,Julia Goerges,R,180,GER
203500,Sachia Vickery,R,,USA
204434,Ysaline Bonaventure,L,,BEL
201614,Caroline Garcia,R,177,FRA
211316,Jessika Ponchet,U,,FRA
211651,Paula Badosa,R,180,ESP
206242,Beatriz Haddad Maia,L,,BRA
201555,Polona Hercog,R,182,SLO
132283,Lorenzo Sonego,R,191,ITA
126652,Jay Clarke,R,,GBR
105216,Yuichi Sugita,R,173,JPN
105841,Lorenzo Giustino,R,,ITA
200095,Nicola Kuhn,R,,ESP
105963,Arthur De Greef,R,,BEL
144895,Corentin Moutet,L,178,FRA
124079,Pedro Martinez,R,,ESP
104873,Aleksandr Nedovyesov,R,,KAZ
126845,Max Purcell,R,,AUS
105585,Ze Zhang,R,,CHN
109303,Stefano Napolitano,R,,ITA
106390,Matteo Donati,R,,ITA
