max_lost,loser_name,nemesis
1,Lamine Ouahab,Daniel Masur
1,Lamine Ouahab,Michael Linzer
1,Lamine Ouahab,Andreas Mies
1,Lamine Ouahab,Ricardas Berankis
7,Gilles Simon,Dominic Thiem
2,Ivan Dodig,Denis Istomin
2,Ivan Dodig,Ernesto Escobedo
1,Walter Trusendi,Marcelo Tomas Barrios Vera
1,Walter Trusendi,Igor Zelenay
1,Walter Trusendi,Evgeny Karlovskiy
1,Walter Trusendi,Paolo Lorenzi
1,Walter Trusendi,Luca Giacomini
1,Walter Trusendi,Jesse Huta Galung
1,Walter Trusendi,Calvin Hemery
1,Walter Trusendi,Matteo Donati
1,Walter Trusendi,Ivan Gakhov
1,Walter Trusendi,Juan Pablo Paz
1,Walter Trusendi,Daniel Elahi Galan
1,Walter Trusendi,Andrea Basso
1,Walter Trusendi,Gianluca Di Nicola
1,Walter Trusendi,Joris De Loore
1,Walter Trusendi,Jose Hernandez
1,Walter Trusendi,Agustin Velotti
1,Walter Trusendi,Viktor Galovic
1,Walter Trusendi,Markus Eriksson
1,Walter Trusendi,Marco Bortolotti
1,Walter Trusendi,Danilo Petrovic
1,Walter Trusendi,Patricio Heras
1,Walter Trusendi,Gianluca Mager
1,Walter Trusendi,Gerald Melzer
1,Walter Trusendi,Federico Gaio
1,Walter Trusendi,Juan Pablo Ficovich
1,Walter Trusendi,Antoine Escoffier
1,Walter Trusendi,Brayden Schnur
1,Hyun Woo Nam,Takuto Niki
4,Adrian Ungur,Filip Krajinovic
1,Florin Mergea,Roberto Bautista Agut
1,Jimmy Wang,Ray Ho
1,Jimmy Wang,Flavio Cipolla
1,Jimmy Wang,Daniel Evans
1,Jimmy Wang,Konstantin Kravchuk
1,Jimmy Wang,Edoardo Eremin
1,Jimmy Wang,Jui Chen Hung
1,Jimmy Wang,Ze Zhang
1,Jimmy Wang,Shuichi Sekiguchi
1,Jimmy Wang,Lukas Lacko
1,Jimmy Wang,Sadio Doumbia
1,Jimmy Wang,Enrique Lopez Perez
1,Jimmy Wang,Kimmer Coppejans
1,Jimmy Wang,Yen Hsun Lu
1,Jimmy Wang,Blaz Kavcic
1,Jimmy Wang,Marinko Matosevic
1,Jimmy Wang,Stefan Kozlov
1,Jimmy Wang,Daniel Yoo
1,Jimmy Wang,Adrien Bossel
1,Jimmy Wang,Dayne Kelly
1,Jimmy Wang,Lorenzo Sonego
1,Jimmy Wang,Adam Pavlasek
1,Jimmy Wang,John Millman
1,Jimmy Wang,Yuuya Kibi
2,Somdev Devvarman,Adrian Menendez Maceiras
3,Konstantin Kravchuk,Go Soeda
1,Stefan Seifert,Jan Satral
1,Frederico Gil,Marcelo Tomas Barrios Vera
1,Frederico Gil,Martin Cuevas
1,Frederico Gil,Baptiste Crepatte
1,Frederico Gil,Tim Smyczek
1,Frederico Gil,Pedro Martinez
1,Frederico Gil,Inigo Cervantes Huegun
1,Frederico Gil,Pedro Sousa
1,Frederico Gil,Matteo Viola
1,Frederico Gil,Gabor Borsos
1,Frederico Gil,Juan Ignacio Londero
6,Stan Wawrinka,Roger Federer
3,Dudi Sela,Taylor Fritz
3,Dudi Sela,Marcos Baghdatis
3,Dudi Sela,Mitchell Krueger
3,Dudi Sela,Sam Querrey
3,Dudi Sela,Ricardas Berankis
1,Daniel Garza,Tigre Hank
1,Daniel Garza,Emilio Gomez
1,Daniel Garza,Amir Weintraub
4,Jo-Wilfried Tsonga,Milos Raonic
1,Ricardo Villacorta Alonso,Nicolas Almagro
1,Ricardo Villacorta Alonso,Roberto Ortega Olmedo
5,John Isner,Steve Johnson
5,John Isner,Alexander Zverev
3,Horacio Zeballos,Alexandr Dolgopolov
3,Horacio Zeballos,Jiri Vesely
3,Brian Baker,Denis Kudla
1,Ricardo Hocevar,Juan Pablo Varillas
1,Ricardo Hocevar,Andres Molteni
1,Ricardo Hocevar,Santiago Giraldo
1,Ricardo Hocevar,Christian Lindell
1,Ricardo Hocevar,Marcelo Arevalo
1,Ricardo Hocevar,Juan Ignacio Londero
1,Ricardo Hocevar,Bruno Santanna
1,Ricardo Hocevar,Orlando Luz
1,Gero Kretschmer,Alexander Vasilenko
1,Gero Kretschmer,Fabricio Neis
1,Alexander Perfilov,Jordi Munoz Abreu
4,Teymuraz Gabashvili,Altug Celikbilek
2,Luca Vanni,Maximilian Marterer
2,Luca Vanni,Arthur De Greef
2,Luca Vanni,Salvatore Caruso
2,Luca Vanni,Mirza Basic
2,Luca Vanni,Daniel Masur
2,Luca Vanni,Ernests Gulbis
2,Luca Vanni,Jurgen Zopp
2,Luca Vanni,Antoine Hoang
2,Luca Vanni,Matthias Bachinger
2,Luca Vanni,Blaz Kavcic
3,Marcos Baghdatis,Gael Monfils
1,Alessandro Damiano Ventre,Jared Hiltzik
1,Francesco Borgo,Roberto Marcora
1,Romain Jouan,Marko Tepavac
1,Romain Jouan,Filip Horansky
1,Romain Jouan,Tim Smyczek
1,Romain Jouan,Sam Barry
1,Romain Jouan,Marco Trungelliti
1,Romain Jouan,Yan Bai
1,Romain Jouan,Albano Olivetti
1,Romain Jouan,Calvin Hemery
1,Romain Jouan,Guillermo Duran
1,Romain Jouan,Sergiy Stakhovsky
1,Filip Polasek,Elmar Ejupovic
4,Lukas Rosol,Stan Wawrinka
1,Patrick Tierro,Wishaya Trongcharoenchaikul
1,Patrick Tierro,Chu Huan Yi
3,Daniel Gimeno Traver,Carlos Taberner
2,Marinko Matosevic,Hiroki Moriya
3,Nicolas Almagro,David Goffin
1,Treat Conrad Huey,Denis Kudla
1,Treat Conrad Huey,Steven Diez
1,Andrea Falgheri,Flavio Cipolla
1,Ruben Gonzales,Karl Friberg
1,Ruben Gonzales,Corentin Moutet
1,Ruben Gonzales,Ernesto Escobedo
1,Ruben Gonzales,Ti Chen
1,Ruben Gonzales,Ruan Roelofse
1,Ruben Gonzales,Maximo Gonzalez
1,Ruben Gonzales,Gonzalo Escobar
1,Ruben Gonzales,Gerard Granollers
1,Ruben Gonzales,Sho Katayama
1,Ruben Gonzales,Prajnesh Gunneswaran
1,Ruben Gonzales,Igor Sijsling
1,Ruben Gonzales,Kento Takeuchi
1,Ruben Gonzales,Nicolas Barrientos
5,Tomas Berdych,Roger Federer
1,Daniel Yoo,Ben Patael
1,Daniel Yoo,Ji Sung Nam
1,Daniel Yoo,Woo Hyeok Jang
1,Daniel Yoo,Jung Woong Na
1,Daniel Yoo,Tatsuma Ito
1,Daniel Yoo,Liam Broady
1,Daniel Yoo,Luke Saville
1,Daniel Yoo,Tsung Hua Yang
1,Ranjeet Virali Murugesan,Alexei Popyrin
1,Ranjeet Virali Murugesan,Khumoun Sultanov
1,Ranjeet Virali Murugesan,Kaza Vinayak Sharma
1,Ranjeet Virali Murugesan,Sidharth Rawat
1,Jesse Huta Galung,Constant Lestienne
1,Jesse Huta Galung,Andrey Kuznetsov
1,Jesse Huta Galung,Enrique Lopez Perez
1,Jesse Huta Galung,Joris De Loore
2,Simone Bolelli,Quentin Halys
2,Simone Bolelli,Benoit Paire
2,Simone Bolelli,Guido Andreozzi
2,Simone Bolelli,Rogerio Dutra Silva
1,Boy Westerhof,Constant Lestienne
1,Boy Westerhof,Damir Dzumhur
1,Boy Westerhof,Marco Cecchinato
1,Boy Westerhof,Julien Cagnina
2,Alexander Kudryavtsev,Zhe Li
2,Alexander Kudryavtsev,Yen Hsun Lu
2,Alexander Kudryavtsev,Dmitry Popko
2,Alexander Kudryavtsev,Peter Gojowczyk
2,Alexander Kudryavtsev,Aleksandr Nedovyesov
2,Alexander Kudryavtsev,Marco Chiudinelli
2,Alexander Kudryavtsev,Ramkumar Ramanathan
3,Adrian Menendez Maceiras,Daniel Brands
1,Harshana Godamanna,Pruchya Isarow
1,Alexander Pavlioutchenkov,Dostanbek Tashbulatov
1,Alexander Pavlioutchenkov,Xin Gao
1,Alexander Pavlioutchenkov,Nikola Cacic
1,Alexander Pavlioutchenkov,Bogdan Bobrov
1,Alexander Pavlioutchenkov,Dzmitry Zhyrmont
1,Alexander Pavlioutchenkov,Alexandar Lazov
2,Riccardo Ghedin,Kevin Krawietz
1,Purav Raja,Roman Safiullin
1,Purav Raja,Marinko Matosevic
1,Purav Raja,Clay Thompson
1,Purav Raja,Matt Reid
1,Purav Raja,Alexander Sarkissian
1,Bumpei Sato,David O'Hare
5,Pablo Cuevas,Dominic Thiem
1,Haydn Lewis,Casper Ruud
1,Haydn Lewis,Wilfredo Gonzalez
1,Haydn Lewis,Ayed Zatar
1,Haydn Lewis,Thiago Monteiro
1,Haydn Lewis,Daniel Elahi Galan
5,Sergiy Stakhovsky,Tobias Kamke
3,Pablo Andujar,Dominic Thiem
3,Pablo Andujar,Roberto Bautista Agut
3,Pablo Andujar,Feliciano Lopez
1,Philipp Oswald,Gianluigi Quinzi
1,Philipp Oswald,Bradley Klahn
3,Vincent Millot,Arthur De Greef
3,Vincent Millot,Yannick Maden
1,Andreas Beck,Lloyd Harris
1,Andreas Beck,Steve Darcis
1,Andreas Beck,Maxime Chazal
1,Andreas Beck,Dennis Novak
1,Andreas Beck,Alexandar Lazov
1,Andreas Beck,Edoardo Eremin
1,Andreas Beck,Federico Gaio
1,Andreas Beck,Maximilian Marterer
1,Andreas Beck,Inigo Cervantes Huegun
1,Andreas Beck,Go Soeda
1,Andreas Beck,Laslo Djere
1,Andreas Beck,Thomaz Bellucci
1,Artem Sitak,Matthew Barton
1,Artem Sitak,Maxime Tabatruong
1,Artem Sitak,Jeremy Chardy
1,Artem Sitak,Michael Berrer
1,Artem Sitak,Gregoire Barrere
5,Viktor Troicki,Stan Wawrinka
1,Divij Sharan,Daniel Elahi Galan
1,Divij Sharan,Sumit Nagal
1,Divij Sharan,Roman Safiullin
1,Divij Sharan,Marc Polmans
1,Divij Sharan,Bradley Mousley
1,Divij Sharan,Stefano Napolitano
1,Divij Sharan,Peter Nagy
1,Victor Mugurel Anagnastopol,Marek Gengel
1,Victor Mugurel Anagnastopol,Nikola Mektic
2,Denis Matsukevitch,Alexey Vatutin
2,Denis Matsukevitch,Dzmitry Zhyrmont
1,Julian Reister,Mathias Bourgue
1,Julian Reister,Daniel Brands
1,Julian Reister,Gastao Elias
1,Julian Reister,Guido Andreozzi
1,Julian Reister,Filip Krajinovic
1,Julian Reister,Laurent Lokoli
1,Julian Reister,Edouard Roger Vasselin
1,Julian Reister,Albert Montanes
4,Marcel Granollers,Daniel Evans
1,Florian Reynet,Julien Benneteau
2,Ivan Nedelko,Gian Marco Moroni
2,Ivan Nedelko,Nikola Milojevic
2,Ivan Nedelko,Denis Yevseyev
2,Ivan Nedelko,Adrian Menendez Maceiras
2,Ivan Nedelko,Konstantin Kravchuk
2,Ivan Nedelko,Sumit Nagal
5,Kevin Anderson,Novak Djokovic
3,Tobias Kamke,Constant Lestienne
3,Tobias Kamke,Henri Laaksonen
3,Tobias Kamke,Ramkumar Ramanathan
3,Tobias Kamke,Jiri Vesely
3,Tobias Kamke,Alessandro Giannessi
2,Farrukh Dustov,Egor Gerasimov
2,Farrukh Dustov,Daniel Gimeno Traver
2,Caio Zampieri,Alejandro Falla
2,Caio Zampieri,Rogerio Dutra Silva
2,Caio Zampieri,Pedja Krstin
2,Caio Zampieri,Arthur De Greef
2,Caio Zampieri,Jose Hernandez
2,Caio Zampieri,Marcelo Arevalo
2,Caio Zampieri,Andres Molteni
